"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","OTU_3","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"2","OTU_4","None","None",NA,NA,NA,NA,NA,NA,NA
"3","OTU_5","None","None",NA,NA,NA,NA,NA,NA,NA
"4","OTU_6","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"5","OTU_7","None","None",NA,NA,NA,NA,NA,NA,NA
"6","OTU_11","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"7","OTU_12","None","None",NA,NA,NA,NA,NA,NA,NA
"8","OTU_13","None","None",NA,NA,NA,NA,NA,NA,NA
"9","OTU_14","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"10","OTU_15","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"11","OTU_17","High","33640","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis"
"12","OTU_19","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"13","OTU_24","None","None",NA,NA,NA,NA,NA,NA,NA
"14","OTU_26","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"15","OTU_27","None","None",NA,NA,NA,NA,NA,NA,NA
"16","OTU_29","None","None",NA,NA,NA,NA,NA,NA,NA
"17","OTU_33","None","None",NA,NA,NA,NA,NA,NA,NA
"18","OTU_36","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"19","OTU_38","None","None",NA,NA,NA,NA,NA,NA,NA
"20","OTU_39","None","None",NA,NA,NA,NA,NA,NA,NA
"21","OTU_40","None","None",NA,NA,NA,NA,NA,NA,NA
"22","OTU_41","None","None",NA,NA,NA,NA,NA,NA,NA
"23","OTU_43","None","None",NA,NA,NA,NA,NA,NA,NA
"24","OTU_45","None","None",NA,NA,NA,NA,NA,NA,NA
"25","OTU_47","None","None",NA,NA,NA,NA,NA,NA,NA
"26","OTU_49","None","None",NA,NA,NA,NA,NA,NA,NA
"27","OTU_51","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"28","OTU_52","None","None",NA,NA,NA,NA,NA,NA,NA
"29","OTU_56","None","None",NA,NA,NA,NA,NA,NA,NA
"30","OTU_57","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"31","OTU_58","None","None",NA,NA,NA,NA,NA,NA,NA
"32","OTU_59","None","None",NA,NA,NA,NA,NA,NA,NA
"33","OTU_60","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"34","OTU_63","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"35","OTU_65","None","None",NA,NA,NA,NA,NA,NA,NA
"36","OTU_71","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"37","OTU_72","None","None",NA,NA,NA,NA,NA,NA,NA
"38","OTU_73","None","None",NA,NA,NA,NA,NA,NA,NA
"39","OTU_79","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"40","OTU_80","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"41","OTU_86","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"42","OTU_90","None","None",NA,NA,NA,NA,NA,NA,NA
"43","OTU_91","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"44","OTU_92","None","None",NA,NA,NA,NA,NA,NA,NA
"45","OTU_97","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"46","OTU_99","None","None",NA,NA,NA,NA,NA,NA,NA
"47","OTU_101","None","None",NA,NA,NA,NA,NA,NA,NA
"48","OTU_103","High","29204","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","Cyclotella","Cyclotella cryptica"
"49","OTU_104","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"50","OTU_105","High-MH","None","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia",NA
"51","OTU_106","Low","1699300","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina sp. KK-2015"
"52","OTU_108","None","None",NA,NA,NA,NA,NA,NA,NA
"53","OTU_109","None","None",NA,NA,NA,NA,NA,NA,NA
"54","OTU_112","None","None",NA,NA,NA,NA,NA,NA,NA
"55","OTU_113","None","None",NA,NA,NA,NA,NA,NA,NA
"56","OTU_114","None","None",NA,NA,NA,NA,NA,NA,NA
"57","OTU_115","High-MH","None","Eukaryota","","Phaeophyceae","Laminariales","Lessoniaceae","Ecklonia",NA
"58","OTU_118","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"59","OTU_119","High","186178","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Pleopis","Pleopis polyphemoides"
"60","OTU_121","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"61","OTU_133","None","None",NA,NA,NA,NA,NA,NA,NA
"62","OTU_135","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"63","OTU_139","None","None",NA,NA,NA,NA,NA,NA,NA
"64","OTU_140","High","33640","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis"
"65","OTU_142","None","None",NA,NA,NA,NA,NA,NA,NA
"66","OTU_145","Low","1699300","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina sp. KK-2015"
"67","OTU_147","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"68","OTU_148","None","None",NA,NA,NA,NA,NA,NA,NA
"69","OTU_149","Low","185004","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia geniculata"
"70","OTU_150","High-MH","None","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Mytilus",NA
"71","OTU_151","None","None",NA,NA,NA,NA,NA,NA,NA
"72","OTU_153","Low","1699300","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina sp. KK-2015"
"73","OTU_155","None","None",NA,NA,NA,NA,NA,NA,NA
"74","OTU_156","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"75","OTU_157","None","None",NA,NA,NA,NA,NA,NA,NA
"76","OTU_160","None","None",NA,NA,NA,NA,NA,NA,NA
"77","OTU_162","None","None",NA,NA,NA,NA,NA,NA,NA
"78","OTU_165","Low","1436827","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. F AC-2013"
"79","OTU_166","High","94617","Eukaryota","","Raphidophyceae","Chattonellales","Chattonellaceae","Fibrocapsa","Fibrocapsa japonica"
"80","OTU_167","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"81","OTU_168","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"82","OTU_169","None","None",NA,NA,NA,NA,NA,NA,NA
"83","OTU_170","None","None",NA,NA,NA,NA,NA,NA,NA
"84","OTU_172","High","498525","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Corymorphidae","Corymorpha","Corymorpha bigelowi"
"85","OTU_173","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"86","OTU_175","None","None",NA,NA,NA,NA,NA,NA,NA
"87","OTU_177","High","1470270","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis lenisilicea"
"88","OTU_178","None","None",NA,NA,NA,NA,NA,NA,NA
"89","OTU_183","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"90","OTU_184","None","None",NA,NA,NA,NA,NA,NA,NA
"91","OTU_190","None","None",NA,NA,NA,NA,NA,NA,NA
"92","OTU_192","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"93","OTU_195","Low","1436827","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. F AC-2013"
"94","OTU_196","Low","1403516","Eukaryota","","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Colpomenia","Colpomenia sp. 1WA"
"95","OTU_197","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"96","OTU_203","None","None",NA,NA,NA,NA,NA,NA,NA
"97","OTU_207","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"98","OTU_209","High","6230","Eukaryota","Nemertea","Enopla","Monostilifera","Emplectonematidae","Emplectonema","Emplectonema gracile"
"99","OTU_211","High","29204","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","Cyclotella","Cyclotella cryptica"
"100","OTU_212","None","None",NA,NA,NA,NA,NA,NA,NA
"101","OTU_213","None","None",NA,NA,NA,NA,NA,NA,NA
"102","OTU_216","High-MH","None","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae","Mytilus",NA
"103","OTU_218","High","223366","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidia","Ascidia ahodori"
"104","OTU_220","None","None",NA,NA,NA,NA,NA,NA,NA
"105","OTU_222","None","None",NA,NA,NA,NA,NA,NA,NA
"106","OTU_224","None","None",NA,NA,NA,NA,NA,NA,NA
"107","OTU_228","None","None",NA,NA,NA,NA,NA,NA,NA
"108","OTU_231","None","None",NA,NA,NA,NA,NA,NA,NA
"109","OTU_233","None","None",NA,NA,NA,NA,NA,NA,NA
"110","OTU_234","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"111","OTU_235","None","None",NA,NA,NA,NA,NA,NA,NA
"112","OTU_238","None","None",NA,NA,NA,NA,NA,NA,NA
"113","OTU_240","None","None",NA,NA,NA,NA,NA,NA,NA
"114","OTU_241","None","None",NA,NA,NA,NA,NA,NA,NA
"115","OTU_248","None","None",NA,NA,NA,NA,NA,NA,NA
"116","OTU_250","None","None",NA,NA,NA,NA,NA,NA,NA
"117","OTU_251","None","None",NA,NA,NA,NA,NA,NA,NA
"118","OTU_252","None","None",NA,NA,NA,NA,NA,NA,NA
"119","OTU_254","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"120","OTU_258","High-MH","None","Eukaryota","Cnidaria","Anthozoa","Corallimorpharia","Discosomidae",NA,NA
"121","OTU_259","Low","1470270","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis lenisilicea"
"122","OTU_263","None","None",NA,NA,NA,NA,NA,NA,NA
"123","OTU_265","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"124","OTU_266","Low","1436827","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. F AC-2013"
"125","OTU_272","None","None",NA,NA,NA,NA,NA,NA,NA
"126","OTU_274","None","None",NA,NA,NA,NA,NA,NA,NA
"127","OTU_275","High","650517","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Amphiroa","Amphiroa beauvoisii"
"128","OTU_276","None","None",NA,NA,NA,NA,NA,NA,NA
"129","OTU_277","None","None",NA,NA,NA,NA,NA,NA,NA
