"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","Zotu1","None","None",NA,NA,NA,NA,NA,NA,NA
"2","Zotu2","None","None",NA,NA,NA,NA,NA,NA,NA
"3","Zotu3","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"4","Zotu4","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"5","Zotu5","None","None",NA,NA,NA,NA,NA,NA,NA
"6","Zotu6","None","None",NA,NA,NA,NA,NA,NA,NA
"7","Zotu7","None","None",NA,NA,NA,NA,NA,NA,NA
"8","Zotu8","None","None",NA,NA,NA,NA,NA,NA,NA
"9","Zotu9","None","None",NA,NA,NA,NA,NA,NA,NA
"10","Zotu10","None","None",NA,NA,NA,NA,NA,NA,NA
"11","Zotu11","None","None",NA,NA,NA,NA,NA,NA,NA
"12","Zotu12","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"13","Zotu13","None","None",NA,NA,NA,NA,NA,NA,NA
"14","Zotu14","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"15","Zotu15","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"16","Zotu16","None","None",NA,NA,NA,NA,NA,NA,NA
"17","Zotu17","High","33640","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis"
"18","Zotu18","None","None",NA,NA,NA,NA,NA,NA,NA
"19","Zotu19","None","None",NA,NA,NA,NA,NA,NA,NA
"20","Zotu20","None","None",NA,NA,NA,NA,NA,NA,NA
"21","Zotu21","None","None",NA,NA,NA,NA,NA,NA,NA
"22","Zotu22","None","None",NA,NA,NA,NA,NA,NA,NA
"23","Zotu23","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"24","Zotu24","None","None",NA,NA,NA,NA,NA,NA,NA
"25","Zotu25","None","None",NA,NA,NA,NA,NA,NA,NA
"26","Zotu26","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"27","Zotu27","None","None",NA,NA,NA,NA,NA,NA,NA
"28","Zotu28","None","None",NA,NA,NA,NA,NA,NA,NA
"29","Zotu29","None","None",NA,NA,NA,NA,NA,NA,NA
"30","Zotu30","None","None",NA,NA,NA,NA,NA,NA,NA
"31","Zotu31","None","None",NA,NA,NA,NA,NA,NA,NA
"32","Zotu32","None","None",NA,NA,NA,NA,NA,NA,NA
"33","Zotu33","None","None",NA,NA,NA,NA,NA,NA,NA
"34","Zotu34","None","None",NA,NA,NA,NA,NA,NA,NA
"35","Zotu35","None","None",NA,NA,NA,NA,NA,NA,NA
"36","Zotu36","None","None",NA,NA,NA,NA,NA,NA,NA
"37","Zotu37","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"38","Zotu38","None","None",NA,NA,NA,NA,NA,NA,NA
"39","Zotu39","None","None",NA,NA,NA,NA,NA,NA,NA
"40","Zotu40","None","None",NA,NA,NA,NA,NA,NA,NA
"41","Zotu41","None","None",NA,NA,NA,NA,NA,NA,NA
"42","Zotu42","None","None",NA,NA,NA,NA,NA,NA,NA
"43","Zotu43","None","None",NA,NA,NA,NA,NA,NA,NA
"44","Zotu44","None","None",NA,NA,NA,NA,NA,NA,NA
"45","Zotu45","None","None",NA,NA,NA,NA,NA,NA,NA
"46","Zotu46","None","None",NA,NA,NA,NA,NA,NA,NA
"47","Zotu47","None","None",NA,NA,NA,NA,NA,NA,NA
"48","Zotu48","None","None",NA,NA,NA,NA,NA,NA,NA
"49","Zotu49","None","None",NA,NA,NA,NA,NA,NA,NA
"50","Zotu50","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"51","Zotu51","None","None",NA,NA,NA,NA,NA,NA,NA
"52","Zotu52","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"53","Zotu53","None","None",NA,NA,NA,NA,NA,NA,NA
"54","Zotu54","None","None",NA,NA,NA,NA,NA,NA,NA
"55","Zotu55","None","None",NA,NA,NA,NA,NA,NA,NA
"56","Zotu56","None","None",NA,NA,NA,NA,NA,NA,NA
"57","Zotu57","None","None",NA,NA,NA,NA,NA,NA,NA
"58","Zotu58","None","None",NA,NA,NA,NA,NA,NA,NA
"59","Zotu59","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"60","Zotu60","None","None",NA,NA,NA,NA,NA,NA,NA
"61","Zotu61","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"62","Zotu62","None","None",NA,NA,NA,NA,NA,NA,NA
"63","Zotu63","None","None",NA,NA,NA,NA,NA,NA,NA
"64","Zotu64","None","None",NA,NA,NA,NA,NA,NA,NA
"65","Zotu65","None","None",NA,NA,NA,NA,NA,NA,NA
"66","Zotu66","None","None",NA,NA,NA,NA,NA,NA,NA
"67","Zotu67","None","None",NA,NA,NA,NA,NA,NA,NA
"68","Zotu68","None","None",NA,NA,NA,NA,NA,NA,NA
"69","Zotu69","None","None",NA,NA,NA,NA,NA,NA,NA
"70","Zotu70","None","None",NA,NA,NA,NA,NA,NA,NA
"71","Zotu71","None","None",NA,NA,NA,NA,NA,NA,NA
"72","Zotu72","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"73","Zotu73","None","None",NA,NA,NA,NA,NA,NA,NA
"74","Zotu74","None","None",NA,NA,NA,NA,NA,NA,NA
"75","Zotu75","None","None",NA,NA,NA,NA,NA,NA,NA
"76","Zotu76","None","None",NA,NA,NA,NA,NA,NA,NA
"77","Zotu77","None","None",NA,NA,NA,NA,NA,NA,NA
"78","Zotu78","High","41875","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"79","Zotu79","None","None",NA,NA,NA,NA,NA,NA,NA
"80","Zotu80","None","None",NA,NA,NA,NA,NA,NA,NA
"81","Zotu81","None","None",NA,NA,NA,NA,NA,NA,NA
"82","Zotu82","High","756461","Eukaryota","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","Balanus trigonus"
"83","Zotu83","None","None",NA,NA,NA,NA,NA,NA,NA
"84","Zotu84","None","None",NA,NA,NA,NA,NA,NA,NA
"85","Zotu85","None","None",NA,NA,NA,NA,NA,NA,NA
"86","Zotu86","None","None",NA,NA,NA,NA,NA,NA,NA
"87","Zotu87","None","None",NA,NA,NA,NA,NA,NA,NA
"88","Zotu88","Low","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"89","Zotu89","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"90","Zotu90","None","None",NA,NA,NA,NA,NA,NA,NA
"91","Zotu91","None","None",NA,NA,NA,NA,NA,NA,NA
"92","Zotu92","None","None",NA,NA,NA,NA,NA,NA,NA
"93","Zotu93","High","38833","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla"
"94","Zotu94","None","None",NA,NA,NA,NA,NA,NA,NA
"95","Zotu95","None","None",NA,NA,NA,NA,NA,NA,NA
"96","Zotu96","None","None",NA,NA,NA,NA,NA,NA,NA
"97","Zotu97","High","29204","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","Cyclotella","Cyclotella cryptica"
"98","Zotu98","None","None",NA,NA,NA,NA,NA,NA,NA
"99","Zotu99","None","None",NA,NA,NA,NA,NA,NA,NA
"100","Zotu100","None","None",NA,NA,NA,NA,NA,NA,NA
"101","Zotu101","High-MH","None","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia",NA
"102","Zotu102","None","None",NA,NA,NA,NA,NA,NA,NA
"103","Zotu103","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"104","Zotu104","None","None",NA,NA,NA,NA,NA,NA,NA
"105","Zotu105","None","None",NA,NA,NA,NA,NA,NA,NA
"106","Zotu106","None","None",NA,NA,NA,NA,NA,NA,NA
"107","Zotu107","None","None",NA,NA,NA,NA,NA,NA,NA
"108","Zotu108","Low","1699300","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina sp. KK-2015"
"109","Zotu109","None","None",NA,NA,NA,NA,NA,NA,NA
"110","Zotu110","None","None",NA,NA,NA,NA,NA,NA,NA
"111","Zotu111","None","None",NA,NA,NA,NA,NA,NA,NA
"112","Zotu112","None","None",NA,NA,NA,NA,NA,NA,NA
"113","Zotu113","None","None",NA,NA,NA,NA,NA,NA,NA
"114","Zotu114","None","None",NA,NA,NA,NA,NA,NA,NA
"115","Zotu115","None","None",NA,NA,NA,NA,NA,NA,NA
"116","Zotu116","High","186178","Eukaryota","Arthropoda","Branchiopoda","Diplostraca","Podonidae","Pleopis","Pleopis polyphemoides"
"117","Zotu117","High-MH","None","Eukaryota","","Phaeophyceae","Laminariales","Lessoniaceae","Ecklonia",NA
"118","Zotu118","None","None",NA,NA,NA,NA,NA,NA,NA
"119","Zotu119","None","None",NA,NA,NA,NA,NA,NA,NA
"120","Zotu120","None","None",NA,NA,NA,NA,NA,NA,NA
"121","Zotu121","None","None",NA,NA,NA,NA,NA,NA,NA
"122","Zotu122","None","None",NA,NA,NA,NA,NA,NA,NA
"123","Zotu123","None","None",NA,NA,NA,NA,NA,NA,NA
"124","Zotu124","None","None",NA,NA,NA,NA,NA,NA,NA
"125","Zotu125","None","None",NA,NA,NA,NA,NA,NA,NA
"126","Zotu126","None","None",NA,NA,NA,NA,NA,NA,NA
"127","Zotu127","None","None",NA,NA,NA,NA,NA,NA,NA
"128","Zotu128","High","298899","Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Porphyra","Porphyra capensis"
"129","Zotu129","None","None",NA,NA,NA,NA,NA,NA,NA
"130","Zotu130","None","None",NA,NA,NA,NA,NA,NA,NA
"131","Zotu131","None","None",NA,NA,NA,NA,NA,NA,NA
"132","Zotu132","None","None",NA,NA,NA,NA,NA,NA,NA
"133","Zotu133","High","744985","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","","alpha proteobacterium HIMB59"
"134","Zotu134","None","None",NA,NA,NA,NA,NA,NA,NA
"135","Zotu135","High","33640","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis"
"136","Zotu136","None","None",NA,NA,NA,NA,NA,NA,NA
"137","Zotu137","None","None",NA,NA,NA,NA,NA,NA,NA
"138","Zotu138","None","None",NA,NA,NA,NA,NA,NA,NA
"139","Zotu139","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"140","Zotu140","None","None",NA,NA,NA,NA,NA,NA,NA
"141","Zotu141","None","None",NA,NA,NA,NA,NA,NA,NA
"142","Zotu142","None","None",NA,NA,NA,NA,NA,NA,NA
"143","Zotu143","Low","185004","Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Obeliidae","Obelia","Obelia geniculata"
"144","Zotu144","None","None",NA,NA,NA,NA,NA,NA,NA
"145","Zotu145","None","None",NA,NA,NA,NA,NA,NA,NA
"146","Zotu146","None","None",NA,NA,NA,NA,NA,NA,NA
"147","Zotu147","Low","1699300","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina sp. KK-2015"
"148","Zotu148","None","None",NA,NA,NA,NA,NA,NA,NA
"149","Zotu149","None","None",NA,NA,NA,NA,NA,NA,NA
"150","Zotu150","None","None",NA,NA,NA,NA,NA,NA,NA
"151","Zotu151","Low","1699300","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina sp. KK-2015"
"152","Zotu152","None","None",NA,NA,NA,NA,NA,NA,NA
"153","Zotu153","None","None",NA,NA,NA,NA,NA,NA,NA
"154","Zotu154","None","None",NA,NA,NA,NA,NA,NA,NA
"155","Zotu155","None","None",NA,NA,NA,NA,NA,NA,NA
"156","Zotu156","High","77300","Eukaryota","","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Margalefidinium","Margalefidinium polykrikoides"
"157","Zotu157","None","None",NA,NA,NA,NA,NA,NA,NA
