"","EL_09","HB_09","HB_17","KN_09","KN_17","MB_09","PE_09","SB_09","SB_17","TB_09","TB_17"
"EL_09",0,0.6202,0.6168,0.1553,0.2476,0.3636,0.0036,0.6112,0.6222,0.5857,0.6162
"HB_09",0.6202,0,0,0.3339,0.1848,0.1283,0.4453,0,0,0,0
"HB_17",0.6168,0,0,0.3279,0.1774,0.1205,0.4403,0,0,0,0
"KN_09",0.1553,0.3339,0.3279,0,0,0.1399,0.0427,0.318,0.3373,0.3051,0.3268
"KN_17",0.2476,0.1848,0.1774,0,0,0.0184,0.1004,0.1651,0.189,0.1537,0.176
"MB_09",0.3636,0.1283,0.1205,0.1399,0.0184,0,0.2068,0.1075,0.1327,0.0798,0.119
"PE_09",0.0036,0.4453,0.4403,0.0427,0.1004,0.2068,0,0.4321,0.4481,0.4111,0.4394
"SB_09",0.6112,0,0,0.318,0.1651,0.1075,0.4321,0,0,0,0
"SB_17",0.6222,0,0,0.3373,0.189,0.1327,0.4481,0,0,0.0014,0
"TB_09",0.5857,0,0,0.3051,0.1537,0.0798,0.4111,0,0.0014,0,0
"TB_17",0.6162,0,0,0.3268,0.176,0.119,0.4394,0,0,0,0
