"","BR_09","EL_09","EL_17","KN_09","KN_17","MB_09","PA_09","PA_17","PE_09","PE_17","RB_09","RB_17"
"BR_09",0,0,0,0,0,0.1293,0,0,0,0,0,0
"EL_09",0,0,0,0,0.0545,0.1523,0,3e-04,0.0389,0.0411,0.0056,0
"EL_17",0,0,0,0,0.0192,0.1226,0,0,0.0135,0.0304,0,0
"KN_09",0,0,0,0,0.0085,0.1222,0,0,0.0343,0.0237,0.014,0
"KN_17",0,0.0545,0.0192,0.0085,0,0.1053,0.0448,0.0205,0,0,0.0505,0.0715
"MB_09",0.1293,0.1523,0.1226,0.1222,0.1053,0,0.1314,0.147,0.1516,0.0736,0.1549,0.1536
"PA_09",0,0,0,0,0.0448,0.1314,0,0,0.0282,0.037,0,0
"PA_17",0,3e-04,0,0,0.0205,0.147,0,0,0,0,0,0.0292
"PE_09",0,0.0389,0.0135,0.0343,0,0.1516,0.0282,0,0,0,0.0046,0.0719
"PE_17",0,0.0411,0.0304,0.0237,0,0.0736,0.037,0,0,0,0.0271,0.0735
"RB_09",0,0.0056,0,0.014,0.0505,0.1549,0,0,0.0046,0.0271,0,0.0333
"RB_17",0,0,0,0,0.0715,0.1536,0,0.0292,0.0719,0.0735,0.0333,0
