"","NumH.09","NumH.17","DivH.09","DivH.17","DivN.09","DivN.17"
"SB","1","4","0±0","0.166±0.007","0±0","0.00027±0"
"SM","0","0",NA,NA,NA,NA
"TB","4","1","0.181±0.008","0±0","7e-04±0","0±0"
"HB","1","2","0±0","0.111±0.01","0±0","0.00018±0"
"MB","5","0","0.373±0.01",NA,"0.00237±0",NA
"KN","5","5","0.677±0.004","0.533±0.02","0.00577±1e-05","0.00469±1e-05"
"PE","8","0","0.83±0.001",NA,"0.00541±1e-05",NA
"BR","0","0",NA,NA,NA,NA
"PA","0","0",NA,NA,NA,NA
"EL","9","0","0.738±0.007",NA,"0.00421±1e-05",NA
"DU","0","0",NA,NA,NA,NA
"RB","0","0",NA,NA,NA,NA
