"","NumH.09","NumH.17","DivH.09","DivH.17","DivN.09","DivN.17"
"SB","0","1",NA,"0±0",NA,"0±0"
"SM","0","1",NA,"0±0",NA,"0±0"
"TB","1","1","0±0","0±0","0±0","0±0"
"HB","2","2","0.239±0.008","0.286±0.04","0.00054±0","0.00065±0"
"MB","2","2","0.133±0.013","0.1±0.008","3e-04±0","0.00023±0"
"KN","2","3","0.517±0","0.49±0.005","0.00118±0","0.00122±0"
"PE","4","4","0.582±0.002","0.65±0.003","0.00223±0","0.00343±1e-05"
"BR","0","0",NA,NA,NA,NA
"PA","4","2","0.405±0.011","0.452±0.004","0.0038±1e-05","0.00103±0"
"EL","3","3","0.674±0.001","0.679±0.012","0.00207±0","0.00179±0"
"DU","2","2","0.37±0.007","0.508±0.001","0.00084±0","0.00115±0"
"RB","0","2",NA,"0.34±0.008",NA,"0.00077±0"
