"","NumH.09","NumH.17","DivH.09","DivH.17","DivN.09","DivN.17"
"SB","0","0",NA,NA,NA,NA
"SM","0","0",NA,NA,NA,NA
"TB","0","0",NA,NA,NA,NA
"HB","0","0",NA,NA,NA,NA
"MB","6","0","0.739±0.006",NA,"0.00212±0",NA
"KN","8","6","0.791±0.007","0.844±0.009","0.00518±1e-05","0.00245±0"
"PE","7","7","0.642±0.014","0.692±0.019","0.00123±0","0.00244±0"
"BR","7","0","0.625±0.02",NA,"0.0031±0",NA
"PA","7","9","0.811±0.004","0.653±0.009","0.00411±1e-05","0.00222±0"
"EL","6","5","0.574±0.01","0.722±0.025","0.00338±0","0.00472±1e-05"
"DU","0","0",NA,NA,NA,NA
"RB","9","10","0.788±0.004","0.792±0.005","0.00261±0","0.00516±1e-05"
