"","NumH.09","NumH.17","DivH.09","DivH.17","DivN.09","DivN.17"
"SB","0","0",NA,NA,NA,NA
"SM","0","0",NA,NA,NA,NA
"TB","0","0",NA,NA,NA,NA
"HB","0","0",NA,NA,NA,NA
"MB","4","3","0.515±0.012","0.347±0.012","0.00356±1e-05","0.00069±0"
"KN","8","4","0.774±0.007","0.677±0.002","0.00662±1e-05","0.00396±1e-05"
"PE","6","3","0.458±0.016","0.358±0.016","0.0108±3e-05","0.01019±3e-05"
"BR","0","0",NA,NA,NA,NA
"PA","0","0",NA,NA,NA,NA
"EL","6","0","0.69±0.003",NA,"0.01489±6e-05",NA
"DU","0","0",NA,NA,NA,NA
"RB","4","4","0.611±0.005","0.69±0.001","0.01508±6e-05","0.01505±6e-05"
